,CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN19,CN20,CN21,CN22,CN23,CN24,CN25,% CN1,% CN2,% CN3,% CN4,% CN5,% CN6,% CN7,% CN8,% CN9,% CN10,% CN11,% CN12,% CN13,% CN14,% CN15,% CN16,% CN17,% CN18,% CN19,% CN20,% CN21,% CN22,% CN23,% CN24,Status
TCGA-LL-A7T0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,96,143,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77639751552795,0.0,27.60394342048864,38.0946960737015,0.0,0.0,0.0,0.0,Cogain
TCGA-EW-A1OY,0,24,0,0,0,0,34,0,32,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0.0,16.107382550335572,0.0,0.0,0.0,0.0,20.59265883500671,0.0,17.23209093615519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.07375945103095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-E9-A5UP,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,84,0,0,0,0,0,0.0,21.73913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16314454775993,35.75955150125417,0.0,0.0,0.0,0.0,Cogain
TCGA-B6-A3ZX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,70,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.34653465346534,0.0,0.0,0.0,26.183245685504776,0.0,0.0,0.0,Cogain
TCGA-AR-A24Z,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.596439169139465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.923308564406,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-E9-A1RI,29,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.702127659574465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.559013505578392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-AR-A24L,31,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.07651715039577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-E2-A153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-E9-A1R4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0.0,66.30434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.582532271354026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-A2-A3XU,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.596541786743515,0.0,Cogain
